Generation,BestScore,AvgScore
0,551,529
1,546,528
2,549,528
3,550,531
4,549,532
5,549,533
6,550,535
7,553,536
8,553,538
9,551,538
10,550,539
11,555,538
12,554,539
13,553,540
14,554,540
15,555,541
16,558,541
17,553,541
18,554,540
19,551,539
20,550,540
21,548,540
22,552,541
23,553,540
24,551,541
25,552,541
26,551,540
27,551,540
28,551,539
29,551,539
30,555,539
31,551,539
32,552,538
33,554,539
34,550,540
35,549,539
36,550,539
37,550,539
38,549,539
39,548,539
40,547,539
41,549,540
42,553,540
43,551,540
44,549,540
45,550,539
46,550,540
47,550,539
48,552,539
49,549,540
50,551,539
51,550,538
52,549,538
53,548,538
54,549,537
55,550,537
56,548,538
57,547,536
58,547,537
59,553,537
60,551,536
61,551,536
62,549,536
63,548,536
64,548,536
65,547,536
66,548,536
67,550,537
68,554,536
69,549,537
70,551,536
71,552,537
72,550,537
73,553,536
74,550,536
75,551,536
76,554,535
77,556,536
78,550,537
79,549,537
80,554,536
81,549,537
82,552,537
83,550,537
84,550,537
85,549,536
86,547,536
87,545,534
88,548,534
89,544,533
90,543,531
91,731,537
92,730,539
93,729,538
94,732,540
95,733,537
96,735,537
97,734,540
98,735,538
99,731,550
