Generation,BestScore,AvgScore
0,485,474
1,486,474
2,486,474
3,486,473
4,484,473
5,483,472
6,480,471
7,480,470
8,479,469
9,479,470
10,480,470
11,481,470
12,479,469
13,478,468
14,477,467
15,475,465
16,479,466
17,477,465
18,472,465
19,473,465
20,476,466
21,478,467
22,475,466
23,476,466
24,478,467
25,476,467
26,478,467
27,479,468
28,479,468
29,481,469
30,481,469
31,480,468
32,481,468
33,477,468
34,477,468
35,480,469
36,480,469
37,480,470
38,482,470
39,482,471
40,482,470
41,483,471
42,481,472
43,483,472
44,483,472
45,484,473
46,482,472
47,483,472
48,485,471
49,486,471
50,486,470
51,486,470
52,481,470
53,481,471
54,481,470
55,479,469
56,480,466
57,481,466
58,481,465
59,480,467
60,483,466
61,675,468
62,477,466
63,477,467
64,669,468
65,474,466
66,670,467
67,668,469
68,671,471
69,671,479
70,673,488
71,676,523
72,677,542
73,677,563
74,675,573
75,677,610
76,678,610
77,677,606
78,678,625
79,680,642
80,678,657
81,678,658
82,679,668
83,681,671
84,680,669
85,682,673
86,683,673
87,684,675
88,685,675
89,686,676
90,687,677
91,686,677
92,686,677
93,686,675
94,685,670
95,10281,770
96,10279,727
97,684,599
98,682,601
99,10279,819
