Generation,BestScore,AvgScore
0,265102,30623
1,184238,32656
2,184238,33498
3,172816,34057
4,221918,34407
5,235676,34546
6,184238,34613
7,172816,34747
8,184238,34883
9,184238,34886
10,196217,34957
11,196217,34841
12,161933,34893
13,172816,35037
14,184238,35071
15,184238,35122
16,196217,34964
17,196217,34942
18,196217,34964
19,196217,35049
20,221918,35045
21,221918,35050
22,221918,35021
23,172816,35081
24,172816,34922
25,161933,35050
26,184238,34824
27,196217,34957
28,208771,35036
29,250065,34958
30,184238,34879
31,196217,35137
32,196217,35019
33,196217,34939
34,196217,34874
35,196217,34963
36,221918,35070
37,208771,35131
38,172816,35105
39,250065,35085
40,184238,35227
41,184238,35115
42,184238,35186
43,196217,35013
44,172816,34993
45,221918,35075
46,208771,34956
47,221918,35054
48,161933,35051
49,221918,35000
50,184238,34896
51,184238,35047
52,184238,34798
53,221918,34895
54,196217,34921
55,184238,35066
56,172816,35073
57,196217,35128
58,172816,34827
59,172816,35008
60,196217,35113
61,221918,35133
62,208771,34828
63,184238,35109
64,184238,35098
65,221918,35160
66,161933,35099
67,184238,35076
68,208771,34974
69,184238,35051
70,172816,35017
71,208771,35237
72,196217,35126
73,208771,34929
74,208771,35035
75,208771,35174
76,250065,35040
77,221918,35037
78,172816,34983
79,196217,35033
80,196217,35126
81,235676,35156
82,221918,35135
83,172816,34812
84,184238,35019
85,184238,34909
86,184238,34677
87,208771,34855
88,265102,34938
89,235676,35105
90,161933,34807
91,172816,35024
92,221918,34919
93,208771,34979
94,184238,35046
95,196217,34983
96,161933,34923
97,196217,34967
98,172816,35046
99,196217,35079
